name,year_of_release,developer,worldwide_sales,critic_score,user_score,critic_count,user_count
Attack of the Movies 3D,2010,Panic Button,0.04,38.0,1.7,8.0,10.0
Attack on Titan: Humanity in Chains,2013,Spike Chunsoft,0.42,46.0,4.5,22.0,34.0
Auto Modellista,2002,Capcom,0.38999999999999996,66.0,7.5,20.0,13.0
Avalon Code,2008,"Matrix Software, Marvelous Entertainment",0.24,71.0,7.4,29.0,13.0
Avatar: The Last Airbender,2006,AWE Games,1.22,59.25,6.25,43.0,29.0
Azure Striker Gunvolt,2016,Inti Creates,0.01,77.0,8.4,20.0,62.0
Azurik: Rise of Perathia,2001,Adrenium,0.24,52.0,8.5,26.0,14.0
B-Boy,2006,FreeStyleGames,0.04,50.0,7.8,11.0,6.0
BIT.TRIP COMPLETE,2011,Gaijin Games,0.09,84.0,8.7,19.0,18.0
BIT.TRIP SAGA,2011,Gaijin Games,0.14,75.0,7.8,21.0,24.0
BMX XXX,2002,"Z-Axis, Ltd.",0.31,57.333333333333336,5.8,55.0,33.0
Back to the Future: The Game,2011,Iron Galaxy Studios,0.05,66.0,4.1,7.0,9.0
Backyard Baseball,2003,Humongous Entertainment,0.13,70.0,9.4,4.0,5.0
Backyard Baseball '09,2008,Humongous Entertainment,0.04,37.0,7.8,4.0,5.0
Backyard Wrestling 2: There Goes the Neighborhood,2004,Paradox Development,0.29,46.0,4.7,23.0,10.0
Backyard Wrestling: Don't Try This at Home,2003,Paradox Development,0.79,50.5,6.4,39.0,36.0
Bad Boys: Miami Takedown,2004,Blitz Games,1.38,37.666666666666664,3.766666666666667,36.0,31.0
Baja: Edge of Control,2008,2XL Games,0.41,63.0,6.05,56.0,29.0
Bakugan: Battle Brawlers,2009,Now Production,2.5300000000000002,61.25,6.825,44.0,32.0
Baldur's Gate: Dark Alliance,2001,High Voltage Software,1.6199999999999999,81.25,7.7,81.0,149.0
Baldur's Gate: Dark Alliance II,2004,Black Isle Studios,0.9500000000000001,77.5,8.3,88.0,70.0
Ball Breakers,2000,Lost Toys,0.18000000000000002,68.0,5.3,10.0,4.0
Balls of Fury,2007,Black Lantern Studios,0.02,19.0,2.8,6.0,25.0
Band Hero,2009,Neversoft Entertainment,2.94,74.0,6.075,135.0,58.0
Bangai-O Spirits,2008,Treasure,0.08,83.0,8.1,38.0,27.0
Banjo-Kazooie,2008,4J Studios,0.01,77.0,8.2,17.0,70.0
Banjo-Kazooie: Grunty's Revenge,2003,Rare Ltd.,0.33999999999999997,72.0,8.1,21.0,18.0
Banjo-Pilot,2005,Rare Ltd.,0.1,68.0,5.9,22.0,9.0
Barbie Groovy Games,2002,Digital Illusions,0.56,47.0,7.0,5.0,4.0
Barnyard,2006,Blue Tongue Entertainment,0.13999999999999999,63.5,7.199999999999999,28.0,17.0
Baroque,2007,Sting,0.2,55.0,8.45,28.0,68.0
Baseball Advance,2002,Smilebit,0.14,80.0,7.8,16.0,5.0
Bass Pro Shops: The Strike,2009,Piranha Games,0.22,63.0,5.8,4.0,5.0
Bass Strike,2001,THQ,0.29,57.0,5.8,11.0,4.0
Baten Kaitos Origins,2006,"Monolith Soft, Namco Bandai Games",0.1,75.0,8.9,21.0,23.0
Baten Kaitos: Eternal Wings and the Lost Ocean,2003,Monolith Soft,0.27,80.0,9.0,48.0,59.0
Batman Begins,2005,Eurocom Entertainment Software,1.07,64.0,7.125,140.0,110.0
Batman: Arkham Asylum,2009,Rocksteady Studios,8.040000000000001,91.33333333333333,8.766666666666666,177.0,3938.0
Batman: Arkham City,2011,Rocksteady Studios,10.73,93.66666666666667,8.633333333333333,156.0,5481.0
