,name,critic_score,critic_count,user_score,user_count
477,The Sims: Livin Large,82.0,23.0,6.6,20.0
478,World Soccer Winning Eleven 6 International,93.0,24.0,9.1,65.0
479,Devil May Cry,94.0,37.0,8.5,466.0
480,Star Wars: The Old Republic,85.0,73.0,5.9,2748.0
481,Middle-Earth: Shadow of Mordor,84.0,85.0,8.1,1886.0
482,Sonic Heroes,64.0,29.0,7.8,94.0
483,Hitman 2: Silent Assassin,85.0,19.0,7.8,78.0
484,Titanfall,86.0,68.0,6.4,2658.0
485,Battlefield: Bad Company 2,88.0,59.0,8.5,572.0
487,SOCOM II: U.S. Navy SEALs,87.0,42.0,9,93.0
489,Pac-Man Collection,79.0,13.0,7.8,4.0
490,Street Fighter IV,93.0,77.0,7.3,292.0
491,inFAMOUS,85.0,98.0,8.3,1172.0
492,Kirby Super Star Ultra,76.0,40.0,8.8,76.0
493,Call of Duty: Ghosts,78.0,7.0,4.3,700.0
496,Mass Effect,91.0,74.0,8.7,1692.0
497,Sonic Mega Collection Plus,73.0,21.0,8.6,30.0
498,World Soccer Winning Eleven 7 International,93.0,28.0,9,45.0
499,Sega Superstars Tennis,67.0,45.0,6.8,18.0
500,Hot Shots Golf 3,85.0,30.0,8.9,16.0
501,Cooking Mama: Cook Off,61.0,37.0,5.3,23.0
502,Call of Duty: Finest Hour,76.0,49.0,7.7,69.0
503,WarioWare: Smooth Moves,83.0,61.0,7.4,179.0
507,Madden NFL 13,81.0,36.0,5.8,179.0
508,The Elder Scrolls III: Morrowind,87.0,34.0,8.7,111.0
509,Assassin's Creed IV: Black Flag,83.0,29.0,7.8,1530.0
513,Mortal Kombat,84.0,60.0,8.4,494.0
514,Madden NFL 10,85.0,58.0,6.1,90.0
516,BioShock,96.0,88.0,8.9,2249.0
517,Metroid Prime,97.0,70.0,9.3,747.0
518,Assassin's Creed: Brotherhood,90.0,59.0,8.2,791.0
522,Medal of Honor,75.0,56.0,7.5,286.0
529,inFAMOUS: Second Son,80.0,90.0,7.9,2944.0
533,NBA Street,89.0,22.0,8.6,39.0
534,Jak II,87.0,47.0,8.2,241.0
536,Need for Speed: Hot Pursuit,89.0,59.0,7.2,301.0
537,Skylanders: Spyro's Adventure,81.0,11.0,5.6,31.0
538,Battlefield 3,89.0,61.0,7.5,4926.0
539,Mortal Kombat X,83.0,81.0,7.7,836.0
540,The Sims,83.0,33.0,7.7,46.0
541,Killzone 3,84.0,85.0,7.9,942.0
542,Star Wars: The Force Unleashed,73.0,74.0,6.7,389.0
544,Yoshi's Island DS,81.0,42.0,7.4,67.0
545,Saints Row: The Third,84.0,70.0,7.6,490.0
548,Tekken 6,79.0,63.0,7.4,211.0
551,Sonic and the Secret Rings,69.0,44.0,6.6,174.0
553,The Legend of Zelda: A Link to the Past,95.0,30.0,9.1,314.0
554,Onimusha: Warlords,86.0,23.0,8.2,56.0
556,L.A. Noire,89.0,83.0,7.8,893.0
557,Call of Duty 3,82.0,71.0,6.5,233.0
558,Madden NFL 12,78.0,55.0,5.9,94.0
559,LEGO Star Wars II: The Original Trilogy,84.0,32.0,9,41.0
560,Killzone: Shadow Fall,73.0,88.0,6.8,2102.0
561,Madden NFL 11,84.0,47.0,5.7,120.0
562,Burnout 3: Takedown,93.0,52.0,9.1,271.0
